key,subnodes
"가을철001",3
"가음002",1
"가음성002",1
"가음희락천002",1
"가의001",1
"가이001",1
"가이드001",1
"가이드002",1
"가이드라인001",1
"가이드라인002",1
"가이드라인009",1
"가이드북001",1
"가이드북002",1
"가이아001",1
"가이아036",1
"가이택001",1
"가인001",2
"가인008",2
"가인괘001",1
"가인박명001",1
"가인수001",1
"가인의001",1
"가임001",3
"가임기001",1
"가임기002",1
"가입001",35
"가입002",1
"가입003",8
"가입004",2
"가입007",4
"가입금001",1
"가입비001",1
"가입자001",1
"가자001",1
"가자003",1
"가자004",1
"가자006",2
"가자007",1
"가자011",1
"가자012",1
"가자015",1
"가자미001",1
"가자미003",1
"가자미눈001",1
"가자미목001",2
"가작001",1
"가작002",1
"가작003",1
"가작약001",1
"가작약004",1
"가장001",3
"가장008",1
"가장009",1
"가장010",1
"가장020",2
"가장권001",1
"가장권004",1
"가장귀001",1
"가장무도001",1
"가장무도회001",1
"가장물001",1
"가장이001",1
"가장자리001",72113
"가장자리002",431
"가장자리003",34
"가장자리004",22
"가장자리005",31
"가장자리006",2
"가장자리009",2
"가장자리015",26
"가장자리018",2
"가장자리030",2
"가장제001",1
"가장집물001",1
"가장행렬001",1
"가재001",1
"가재002",1
"가재003",1
"가재기물001",1
"가재눈001",1
"가재도구001",1
"가재도구007",2
"가재연행록001",1
"가잿과001",2
"가잿과002",2
"가잿과004",2
"가적001",1
"가적004",1
"가전001",1
"가전004",1
"가전005",1
"가전007",1
"가전기001",1
"가전별초001",1
"가전사005",1
"가전제품001",1
"가전체001",3
"가전체036",1
"가전패두기001",1
"가전품001",1
"가절001",1
"가정001",5
"가정002",3
"가정003",72113
"가정004",18
"가정005",2
"가정007",1
"가정009",1
"가정010",1
"가정011",1
"가정012",1
"가정014",2
"가정015",1
"가정018",1
"가정값001",1
"가정과020",1
"가정교사001",1
"가정교육001",1
"가정교훈001",1
"가정대부001",1
"가정란001",1
"가정력002",1
"가정면001",1
"가정법001",1
"가정법원001",2
"가정부001",1
"가정부인001",1
"가정부인010",2
"가정불화001",1
"가정생활001",2
"가정생활002",2
"가정소설002",2
"가정용품001",1
"가정의례001",1
"가정일001",1
"가정적001",1
"가정적003",1
"가정적처분001",1
"가정전기기기001",1
"가정주부001",1
"가정죽003",1
"가정지학001",1
"가정집001",1
"가정치001",1
"가정통신001",1
"가정학001",1
"가정학020",1
"가정학습001",1
"가정환경001",1
"가제001",1
"가제002",1
"가제004",1
"가제006",1
"가제009",1
"가제011",1
"가제목001",1
"가조001",1
"가조004",2
"가조005",1
"가조기001",1
"가족001",585
"가족002",7
"가족003",3
"가족004",3
"가족005",2
"가족009",2
"가족012",2
"가족경제001",1
"가족계획001",1
"가족관계001",6
"가족권001",1
"가족농001",1
"가족도001",1
"가족력001",1
"가족력002",1
"가족법001",1
"가족법002",1
"가족사001",1
"가족사진001",1
"가족생활001",1
"가족원001",1
"가족제도001",2
"가족제도002",2
"가족주의001",1
"가족회의001",1
"가종003",1
"가좌002",1
"가죄001",1
"가주001",1
"가주002",2
"가주004",1
"가주거001",1
"가죽001",20
"가죽002",7
"가죽003",4
"가죽004",3
"가죽006",2
"가죽007",3
"가죽012",2
"가죽016",2
"가죽017",2
"가죽031",3
"가죽끈001",1
"가죽끈002",3
"가죽나무001",1
"가죽나무002",1
"가죽배001",2
"가죽배002",2
"가죽신001",8
"가죽신002",2
"가죽신003",4
"가죽신007",2
"가죽옷001",1
"가죽점퍼001",1
"가중001",1
"가중002",1
"가중감경002",1
"가중값001",1
"가중값009",1
"가중치001",1
"가중치002",1
"가중치009",1
"가증001",67
"가증002",2
"가증003",65
"가지001",54
"가지002",4
"가지003",37
"가지004",14
"가지005",1
"가지006",3
"가지010",4
"가지014",3
"가지016",1
"가지가위001",1
"가지가지001",3
"가지각색001",1
"가지고르기001",1
"가지급금001",1
"가지급금009",1
"가지깨003",1
"가지노리개001",1
"가지다듬기001",2
"가지색001",1
"가지자르기001",2
"가지치기001",2
"가지치기003",2
"가지치기006",2
"가직001",1
"가직003",1
"가진겹씨001",1
"가진월001",1
"가질001",1
"가질002",1
"가집001",1
"가집005",1
"가집행001",1
"가집행002",1
"가짓과001",51
"가짓과002",9
"가짓과003",2
"가짓과004",4
"가짓과006",2
"가짓과007",2
"가짓과009",2
"가짓과012",2
"가짓과022",5
"가짓말001",1
"가짓부리001",1
"가짓불001",1
"가짓빛001",1
"가짓수001",27
"가짜001",1
"가짜배기001",1
"가쪽001",43
"가차001",1
"가차003",1
"가차004",1
"가차자001",1
"가찬001",1
"가창001",1
"가창002",1
"가창력001",1
"가창법001",1
"가책001",1
"가처분001",1
"가첨001",1
"가첨석001",1
"가청001",1
"가체003",1
"가축001",5
"가축002",2
"가축003",2
"가축농003",1
"가축물001",1
"가축법002",1
"가축병원001",1
"가축상001",1
"가축자001",1
"가출001",2
"가출002",1
"가출옥001",1
"가출인001",1
"가출자001",1
"가취005",9
"가취지례001",1
"가치001",72113
"가치002",9
"가치007",1
"가치008",72139
"가치010",1
"가치관001",5
"가치관002",1
"가치담배001",1
"가치론001",1
"가치론002",1
"가치론009",1
"가치설001",1
"가치설009",1
"가치중립001",1
"가치철학001",1
"가치판단001",1
"가치학001",1
"가치학002",1
"가치학설001",1
"가친001",1
"가칠001",1
"가칠003",1
"가칭001",1
"가칭002",1
"가타001",1
"가타002",1
"가타부타001",1
"가탁001",1
"가탁002",1
"가탈001",1
"가탈002",1
"가택001",1
"가택신001",1
"가터003",1
"가톨001",1
"가톨릭001",2
"가톨릭002",2
"가톨릭교001",7
"가톨릭교도001",1
"가톨릭교인001",1
"가톨릭교회001",5
"가톨릭교회002",5
"가통001",1
"가통004",1
"가투001",1
"가트001",1
"가트009",1
"가파001",1
"가판001",1
"가판002",1
"가판003",1
"가판대001",1
"가판대002",1
"가판대006",1
"가판점001",1
"가편001",1
"가편004",1
"가평001",1
"가평003",1
"가평절001",1
"가표001",1
"가표018",1
"가품001",1
"가품002",1
"가풍001",1
"가피학증002",1
"가필001",1
"가학001",7
"가학002",2
"가학009",8
"가학성006",1
"가학성애001",1
"가학애001",1
"가학증001",1
"가한001",1
"가한004",1
"가함001",1
"가합의001",1
"가합의안001",1
"가항001",1
"가항003",1
"가해001",14
"가해002",2
"가해003",3
"가해005",5
"가해009",2
"가해량001",1
"가해자001",1
"가행001",1
"가행002",1
"가행003",1
"가행도001",1
"가행도002",1
"가행위003",1
"가향018",1
"가헌001",1
"가형001",1
"가호001",2
"가호002",3
"가호003",2
"가호006",1
"가혹001",1
"가화001",1
"가환군018",1
"가환율001",1
"가획001",1
"가효001",1
"가후001",1
"가후기001",1
"가후패두기001",1
"가훈001",1
"가휴선생문집001",1
"가휴집001",1
"가희001",1
"각001",20
"각002",353
"각003",34
"각004",2
"각005",6
"각006",7
"각007",2
"각009",3
"각012",7
"각013",72123
"각015",3
"각018",1
"각019",1
"각020",1
"각021",35
"각022",1
"각023",5
"각024",1
"각가지001",1
"각각001",1
"각간001",1
"각간002",1
"각거001",1
"각거리001",7
"각건001",1
"각건004",1
"각결막염002",1
"각경004",1
"각계001",1
"각계각층001",1
"각고001",1
"각고002",1
"각곡001",1
"각골001",5
"각골002",1
"각골난망001",1
"각골분한001",1
"각골지통001",1
"각골통한001",1
"각과001",1
"각과003",1
"각괄호001",1
"각괄호006",1
"각광001",1
"각광002",2
"각광003",2
"각국001",1
"각궁001",2
"각궁002",6
"각근001",2
"각근002",2
"각급001",1
"각기001",1
"각기002",3
"각기003",2
"각기005",2
"각기008",1
"각기둥001",14
"각기둥002",2
"각기둥005",2
"각기둥018",1
"각기병001",1
"각기병002",1
"각기입복004",1
"각기충심002",1
"각내001",1
"각내상002",1
"각다귀001",1
"각다귀009",1
"각다귓과001",2
"각다회001",1
"각단001",1
"각단002",1
"각담001",1
"각담002",1
"각대001",1
"각도001",363
"각도002",35
"각도003",4
"각도004",3
"각도005",2
"각도006",2
"각도009",2
"각도013",2
"각도018",1
"각도기001",1
"각두003",1
"각둘001",1
"각득001",4
"각등001",1
"각력001",689
"각력암001",1
"각론001",1
"각료001",3
"각료002",1
"각루001",1
"각루002",1
"각루원002",1
"각릉암001",1
"각립001",1
"각립002",4
"각립003",32
"각막001",1
"각막002",1
"각막염001",1
"각막염002",1
"각명001",1
"각모001",1
"각모002",2
"각모003",1
"각목001",1
"각문001",1
"각문002",1
"각문004",1
"각문005",1
"각물001",1
"각물003",1
"각반001",1
"각반002",2
"각방001",1
"각방004",1
"각방거처001",1
"각방자리001",1
"각배001",1
"각배006",1
"각배율002",1
"각보001",1
"각본001",3
"각본006",1
"각본007",1
"각봉001",1
"각부001",17
"각부005",8
"각부006",2
"각부021",2
"각뿔001",13
"각뿔002",2
"각뿔004",2
"각뿔006",2
"각뿔010",2
"각뿔013",2
"각뿔018",1
"각사001",1
"각사002",1
"각사006",1
"각사탕001",1
"각상001",1
"각색001",3
"각색002",1
"각색004",1
"각색각양001",1
"각서001",1
"각석001",1
"각선001",1
"각선002",1
"각선009",1
"각선미001",1
"각설001",1
"각설이001",1
"각설탕001",1
"각성001",72113
"각성002",2
"각성007",1
"각성008",72152
"각성009",1
