"head","tail"
"방습재001","물막잇감001"
"방주004","각주003"
"방초003","막새기와002"
"방풍널001","방풍판001"
"배부름001","배흘림001"
"배둥근대패001","둥근대패001"
"배력근001","배력철근001"
"배선관001","레이스웨이001"
"배수004","백워터001"
"배흘림기둥001","엔타시스001"
"백가스관001","백관004"
"백가스관001","아연도금관001"
"백관004","아연도금관001"
"백아화001","백악화001"
"백철관001","백관004"
"백철관001","백가스관001"
"뱃지붕001","게이블지붕001"
"뱃집002","박공집001"
"뱃집002","맞배집001"
"버트레스001","버팀벽001"
"벌음001","버금002"
"법절공001","정도공001"
"법절공001","비탈다듬기001"
"벤드근001","절곡근001"
"벽중깃001","벽주002"
"벽중깃001","중계002"
"벽감001","니치001"
"벽감001","벽감실001"
"벽와002","벽돌001"
"벽주002","중깃001"
"벽주002","중계002"
"벽천002","벽샘001"
"변주001","외측주001"
"변주001","변두리기둥001"
"변탕001","변탕대패001"
"변탕001","턱솔대패001"
"변탕대패001","협포002"
"보002","들보002"
"보머리001","양두005"
"보뺄목001","양두005"
"보꾹001","덴조001"
"보꾹001","양상007"
"보온재001","열절연재001"
"보온판001","방열판003"
"복버니어001","더블버니어001"
"복철근001","복근004"
"복창004","이중창002"
"본기둥001","본주003"
"본비계001","쌍기둥비계001"
"본비계001","양편비계001"
"본보기집001","모델하우스001"
"볼트004","궁륭식구조001"
"봇장001","들보002"
"봉머리002","봉두각001"
"봉머리002","봉두고임001"
"봉두003","봉두각001"
"봉두각001","봉두고임001"
"봉수014","수봉005"
"부격점001","부절점001"
"부독001","부선거001"
"부독001","부유선거001"
"부독001","플로팅독001"
"부무사001","장구무사001"
"부선거001","부양식독001"
"부창방001","뜬창방001"
"부벽003","버팀벽001"
"부벽003","버트레스001"
"부와002","수키와001"
"북장지001","장군목001"
"분구006","아궁이001"
"분무지001","스프레이폰드001"
"분무지001","스프레이지001"
"분배율004","분할률001"
"분산제002","시멘트분산제001"
"분수지002","분무지001"
"분수지002","스프레이못001"
"분합걸쇠001","분합들쇠001"
"분합문001","분합002"
"불벽돌001","내화연와001"
"붙임서까래001","붙임혀001"
"브래킷001","까치발002"
"브이에이브이001","변풍량001"
"비대석001","비대003"
"비용출량001","비양수량001"
"비관003","뜬창방001"
